SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
ABINGDON-UNION,BERKSHIRE,51.6750,-1.2783,1894,1920,324,0
ABINGTON-PIGOTTS-ROYSTON,CAMBRIDGESHIRE,52.0833,-0.0976,1863,1960,1136,40
ACCRINGTON-MILNSHAW-PARK,LANCASHIRE,53.7568,-2.3761,1884,1932,551,37
ACCRINGTON-WARMDEN-RES,LANCASHIRE,53.7445,-2.3450,1869,1888,240,0
ACHNAHARD,PERTHSHIRE,56.2524,-4.3791,1914,1960,557,7
ACHNASHELLACH,ROSS AND CROMARTY,57.4896,-5.2718,1922,1960,460,8
ACKLETON-MIX,SHROPSHIRE,52.5577,-2.3569,1911,1960,592,8
ACKLINGTON-AIRFIELD,NORTHUMBERLAND,55.2999,-1.6472,1944,1960,204,0
ACKLINGTON-BROOMHILL-COLLIERY,NORTHUMBERLAND,55.3025,-1.6125,1891,1951,716,16
ACKWORTH-NOSTELL-PRIORY,YORKSHIRE WEST RIDING,53.6515,-1.3872,1892,1917,312,0
ACKWORTH-SCHOOL,YORKSHIRE WEST RIDING,53.6493,-1.3338,1824,1933,937,383
ACKWORTH-VILLA,YORKSHIRE WEST RIDING,53.6521,-1.3252,1842,1864,226,50
ACLE,NORFOLK,52.6398,1.5452,1865,1938,866,22
ACRISE-PLACE,KENT,51.1365,1.1333,1885,1909,252,48
ADDERLEY-NORTON-IN-HALES-MIX,SHROPSHIRE,52.9554,-2.5016,1866,1960,936,204
ADDINGTON-HARES-BANK,SURREY,51.3469,-0.0342,1889,1960,864,0
ADDINGTON-HILLS-RES,SURREY,51.3599,-0.0624,1890,1960,852,0
ADDINGTON-MANOR-WINSLOW,BUCKINGHAMSHIRE,51.9473,-0.9175,1871,1911,481,11
ADDINGTON-PARK-FARM,SURREY,51.3603,-0.0308,1878,1905,321,15
ADEL-LAWNS-WOOD-CEMETERY,YORKSHIRE WEST RIDING,53.8466,-1.5957,1887,1960,756,132
AFON-LLIW-BLAEN-LLIW-ISAF,MERIONETHSHIRE,52.8793,-3.7787,1934,1960,299,25
AFON-MYNACH-HAFOD-HWYDOG,MERIONETHSHIRE,52.9784,-3.6427,1934,1960,286,38
AFTON-RES-AFTON-WATER,AYRSHIRE,55.2968,-4.1483,1932,1960,348,0
AFTON-RES-GREEN-BURN,AYRSHIRE,55.3065,-4.1551,1932,1960,348,0
