SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
BURY-LANCASHIRE-MIX,LANCASHIRE,53.5569,-2.3229,1797,1863,272,532
BURY-PARSONS-LANE,LANCASHIRE,53.5943,-2.2961,1905,1948,528,0
BURY-ST-EDMUNDS-BARTON-HALL,SUFFOLK,52.2688,0.7641,1859,1885,322,2
BURY-ST-EDMUNDS-CULFORD,SUFFOLK,52.2998,0.6859,1858,1889,368,16
BURY-ST-EDMUNDS-HENGRAVE,SUFFOLK,52.2861,0.6742,1883,1955,732,144
BURY-ST-EDMUNDS-WESTLEY-HALL,SUFFOLK,52.2493,0.6705,1857,1960,1248,0
BUSBY-METHVEN,PERTHSHIRE,56.4234,-3.5698,1826,1846,234,18
BUSHEY-HEATH,HERTFORDSHIRE,51.6348,-0.3354,1818,1823,45,27
BUSHMILLS,ANTRIM,55.2045,-6.5226,1875,1886,133,11
BUSHMILLS-DUNDARAVE,ANTRIM,55.2113,-6.5114,1879,1915,430,14
BUTCOMBE-CHOLWELL,SOMERSET,51.3550,-2.6921,1910,1952,508,8
BUTE-MOUNTSTUART,BUTE,55.7931,-5.0171,1800,1889,588,492
BUTE-PLAN-FARM,BUTE,55.7329,-5.0340,1889,1902,129,39
BUTE-PORT-BANNATYNE-ETTRICKDALE,BUTE,55.8672,-5.0908,1907,1936,360,0
BUTT-OF-LEWIS-LIGHTHOUSE,ROSS AND CROMARTY,58.5148,-6.2637,1862,1955,1100,28
BUTTERLEY-MOSS,CHESHIRE,53.5056,-1.8643,1846,1851,50,22
BUTTERMERE,CUMBERLAND,54.5410,-3.2773,1819,1824,71,1
BUTTERMERE-HASSNESS,CUMBERLAND,54.5318,-3.2594,1886,1938,598,38
BUTTERMERE-RECTORY,WILTSHIRE,51.3462,-1.5118,1881,1910,351,9
BUXTED-PARK,SUSSEX,50.9850,0.1150,1847,1944,684,492
BUXTED-STRAWBERRY-HALL,SUSSEX,50.9973,0.1026,1890,1939,600,0
BUXTON-BURBAGE-EDGE,DERBYSHIRE,53.2522,-1.9490,1900,1960,730,2
BUXTON-LIGHTWOOD,DERBYSHIRE,53.2729,-1.9220,1900,1953,343,305
BUXTON-PORTOBELLO-BAR,DERBYSHIRE,53.2378,-1.9535,1900,1960,731,1
BUXTON-STANLEY-MOOR,DERBYSHIRE,53.2378,-1.9400,1900,1960,731,1
BUXTON-TERRACE-SLOPES,DERBYSHIRE,53.2599,-1.9159,1865,1960,1150,2
BYLAUGH-PARK,NORFOLK,52.7294,1.0124,1883,1940,686,10
BYWELL,NORTHUMBERLAND,54.9476,-1.9197,1855,1882,336,0
CADDONFOOT-FAIRNILEE,SELKIRKSHIRE,55.5894,-2.8647,1910,1960,528,84
CAERGWRLE,FLINTSHIRE,53.1111,-3.0382,1876,1899,287,1
CAERSWS-LLANWNOG,MONTGOMERYSHIRE,52.5333,-3.4403,1876,1890,154,26
CAISTOR,LINCOLNSHIRE,53.4940,-0.3160,1876,1912,432,12
CALDER-FARM-MIRFIELD,YORKSHIRE WEST RIDING,53.6679,-1.6685,1858,1868,132,0
CALDY-MANOR,CHESHIRE,53.3589,-3.1629,1892,1949,456,240
CALF-OF-MAN,ISLE OF MAN,54.0526,-4.8289,1825,1875,608,4
CALLALY-CASTLE-GDNS,NORTHUMBERLAND,55.3839,-1.9195,1931,1960,286,74
CALLANDER-LENY,PERTHSHIRE,56.2523,-4.2403,1852,1959,1219,77
CALLANDER-THE-GART,PERTHSHIRE,56.2316,-4.1939,1864,1902,462,6
CALLINGTON-HINGSTON-DOWN,CORNWALL,50.5122,-4.3057,1861,1899,462,6
CALNE-COMPTON-BASSETT-GDNS,WILTSHIRE,51.4434,-1.9587,1873,1946,864,24
CALNE-HIGH-STREET,WILTSHIRE,51.4389,-2.0057,1879,1935,677,7
CALSHOT,HAMPSHIRE,50.8200,-1.3072,1918,1953,364,68
CAMBERWELL-NUNHEAD-RES,SURREY,51.4614,-0.0552,1890,1960,852,0
CAMBRIDGE-BARROW-ROAD,CAMBRIDGESHIRE,52.1856,0.1371,1912,1955,520,8
CAMBRIDGE-BEECH-HOUSE,CAMBRIDGESHIRE,52.1948,0.1229,1862,1889,336,0
CAMBRIDGE-BOTANIC-GDNS,CAMBRIDGESHIRE,52.1930,0.1258,1898,1960,732,24
CAMBRIDGE-CORPORATION-PUMPING-STATION,CAMBRIDGESHIRE,52.2124,0.1443,1912,1960,588,0
CAMBRIDGE-CORPORATION-STORE-YARD,CAMBRIDGESHIRE,52.1999,0.1407,1912,1960,586,2
CAMBRIDGE-GRANCHESTER,CAMBRIDGESHIRE,52.1746,0.0971,1866,1947,983,1
CAMBRIDGE-MERTON-VILLA,CAMBRIDGESHIRE,52.2094,0.1119,1868,1881,157,11
CAMBRIDGE-OBSERVATORY,CAMBRIDGESHIRE,52.2142,0.0975,1839,1904,597,195
CAMBRIDGE-PINEHURST,CAMBRIDGESHIRE,52.2006,0.1027,1893,1921,348,0
CAMBRIDGE-SIDNEY-STREET,CAMBRIDGESHIRE,52.2057,0.1205,1865,1925,732,0
CAMBRIDGE-TRINITY-COLLEGE,CAMBRIDGESHIRE,52.2066,0.1162,1876,1902,318,6
CAMBRIDGE-WW-CHERRY-HINTON,CAMBRIDGESHIRE,52.1844,0.1546,1871,1940,840,0
CAMBUSLANG-BUSHEY-HILL,LANARKSHIRE,55.8180,-4.1702,1868,1889,263,1
CAMBUSLANG-GREENLEES-FILTERS,LANARKSHIRE,55.8051,-4.1714,1907,1960,648,0
CAMDEN-SQUARE,MIDDLESEX,51.5437,-0.1354,1858,1960,1236,0
CAMDEN-TOWN,MIDDLESEX,51.5347,-0.1386,1801,1808,81,15
CAMELFORD-STANNON-CLAY-WORKS,CORNWALL,50.5977,-4.6465,1909,1960,621,3
CAMERON-WW,FIFE,56.2930,-2.8482,1916,1960,540,0
CAMERTON-VICARAGE,CUMBERLAND,54.6601,-3.5161,1907,1937,367,5
CAMPBELTOWN-SOUTH-PARK,ARGYLL,55.4182,-5.5978,1903,1959,586,98
CANNINGTON-ASHFORD-WW,SOMERSET,51.1407,-3.0920,1881,1960,951,9
CANNINGTON-SOMERSET-FARM-INSTITUTE,SOMERSET,51.1544,-3.0623,1928,1960,390,6
CANNOCK-LONGFORD-ROAD-SEWAGE-WORKS,STAFFORDSHIRE,52.6787,-2.0384,1932,1960,332,16
CANON-FROME-VIC,HEREFORDSHIRE,52.0869,-2.5108,1877,1903,312,12
CANONBIE-BYREBURNFOOT,DUMFRIESSHIRE,55.0913,-2.9562,1870,1929,677,43
CANONBIE-IRVINE-HOUSE,DUMFRIESSHIRE,55.1158,-2.9830,1909,1960,624,0
CANONBIE-SCHOOL,DUMFRIESSHIRE,55.0800,-2.9467,1855,1871,175,29
CANTERBURY-BRIDGE-STREET,KENT,51.2758,1.0821,1865,1880,190,2
CANTERBURY-BURGATE-STREET,KENT,51.2787,1.0828,1880,1900,243,9
CANTERBURY-HARBLEDOWN,KENT,51.2812,1.0571,1876,1960,350,670
CANTERBURY-LONDON-ROAD,KENT,51.2836,1.0688,1911,1960,504,96
CANTERBURY-SEWAGE-WORKS,KENT,51.2943,1.1054,1890,1960,840,12
CAPE-WRATH,SUTHERLAND,58.6252,-5.0001,1829,1960,1562,22
CAPERNOCH-THORNHILL,DUMFRIESSHIRE,55.2252,-3.8199,1867,1884,215,1
CAPPOQUIN-HOUSE,WATERFORD,52.1499,-7.8505,1870,1919,216,384
CAPPOQUIN-MOUNT-MELLERAY,WATERFORD,52.1874,-7.8571,1884,1939,390,282
CARBETH,STIRLINGSHIRE,55.9853,-4.3635,1814,1859,543,9
CARDIFF-CASTLE,GLAMORGAN,51.4824,-3.1823,1876,1902,324,0
CARDIFF-CATHAY,GLAMORGAN,51.4980,-3.1820,1800,1807,96,0
CARDIFF-COGAN-PUMPING-STATION,GLAMORGAN,51.4490,-3.1943,1877,1960,1008,0
CARDIFF-ELY-PUMPING-STATION,GLAMORGAN,51.4809,-3.2384,1859,1936,936,0
CARDIFF-HEATH-FILTERS,GLAMORGAN,51.5121,-3.1816,1887,1960,888,0
CARDIFF-LISVANE,GLAMORGAN,51.5329,-3.1692,1864,1943,953,7
CARDIFF-LLANISHEN-RES,GLAMORGAN,51.5266,-3.1719,1887,1960,879,9
CARDIFF-PENYLAN,GLAMORGAN,51.5069,-3.1613,1908,1960,636,0
CARDIFF-RADYR,GLAMORGAN,51.5039,-3.2401,1841,1842,24,0
CARDIFF-ROATH-PARK,GLAMORGAN,51.5051,-3.1750,1893,1960,788,28
CARDIFF-ST-FAGANS,GLAMORGAN,51.4878,-3.2703,1914,1960,552,12
CARDIFF-WW-BEACONS-RES,BRECKNOCKSHIRE,51.8586,-3.4724,1884,1960,923,1
CARDIFF-WW-CANTREF-RES,BRECKNOCKSHIRE,51.8272,-3.4597,1889,1960,864,0
CARDIFF-WW-CEFN-GOUGARN,BRECKNOCKSHIRE,51.8280,-3.4699,1910,1960,601,11
CARDIFF-WW-GARW-NANT,BRECKNOCKSHIRE,51.8084,-3.4606,1910,1960,610,2
CARDIFF-WW-LLWYNON-RES,BRECKNOCKSHIRE,51.7916,-3.4339,1909,1960,502,122
CARDIFF-WW-NANT-GWINEU,BRECKNOCKSHIRE,51.8088,-3.4272,1910,1960,610,2
CARDIFF-WW-NANT-PENIG,BRECKNOCKSHIRE,51.8611,-3.4870,1896,1960,780,0
CARDIFF-WW-STOREY-ARMS,BRECKNOCKSHIRE,51.8757,-3.4657,1896,1960,778,2
CARDIGAN-COUNTY-SCHOOL,CARDIGANSHIRE,52.0878,-4.6564,1919,1944,236,76
CARDINGTON,BEDFORDSHIRE,52.1053,-0.4201,1846,1960,705,675
CARDROSS-KILMAHEW,DUNBARTONSHIRE,55.9694,-4.6405,1870,1948,563,385
CARGEN-DUMFRIES,KIRKCUDBRIGHTSHIRE,55.0353,-3.6241,1859,1930,857,7
CARLESGILL,DUMFRIESSHIRE,55.1817,-3.0531,1843,1879,410,34
CARLESGILL-HILL-TOP,DUMFRIESSHIRE,55.1744,-3.0708,1857,1869,138,18
CARLETON-HALL-SAXMUNDHAM,SUFFOLK,52.2253,1.4878,1861,1883,274,2
CARLISLE,CUMBERLAND,54.8899,-2.9304,1834,1842,103,5
CARLISLE-ABBEY-STREET,CUMBERLAND,54.8952,-2.9413,1757,1783,324,0
CARLISLE-ATHENAEUM,CUMBERLAND,54.8931,-2.9328,1841,1848,84,12
CARLISLE-BUNKERS-HILL,CUMBERLAND,54.8832,-2.9878,1852,1871,240,0
CARLISLE-CASTLETOWN,CUMBERLAND,54.9493,-3.0194,1866,1895,360,0
CARLISLE-DENTON-HOLME,CUMBERLAND,54.8834,-2.9430,1911,1954,522,6
CARLISLE-NEWBY-GRANGE,CUMBERLAND,54.9192,-2.8440,1896,1918,276,0
CARLISLE-OSO,CUMBERLAND,54.8926,-2.9285,1859,1861,36,0
CARLISLE-PARHAMBECK,CUMBERLAND,54.8938,-2.9490,1845,1863,217,11
CARLISLE-RICKERBY,CUMBERLAND,54.9043,-2.9170,1886,1913,308,28
CARLISLE-ROSE-HILL,CUMBERLAND,54.8964,-2.8841,1883,1956,415,473
CARLISLE-SCALEBY,CUMBERLAND,54.9595,-2.8573,1863,1941,944,4
CARLISLE-SHADDONGATE,CUMBERLAND,54.8928,-2.9452,1801,1824,288,0
CARLISLE-SPITAL-CEMETERY,CUMBERLAND,54.8806,-2.9503,1860,1960,1204,8
CARLISLE-STANWIX,CUMBERLAND,54.9023,-2.9388,1895,1916,264,0
CARLISLE-WREAY-VICARAGE,CUMBERLAND,54.8308,-2.8811,1876,1953,936,0
CARLOW-BROWNES-HILL,CARLOW,52.8314,-6.8829,1866,1940,888,12
CARLTON-HALL-CAMBRIDGE,CAMBRIDGESHIRE,52.1561,0.4062,1894,1912,217,11
CARLTON-LE-MOORLAND,LINCOLNSHIRE,53.1120,-0.6490,1893,1951,699,9
CARLUKE-COLDSTREAM-RES,LANARKSHIRE,55.7292,-3.7936,1895,1960,790,2
CARLUKE-MAULDSLIE-CASTLE,LANARKSHIRE,55.7323,-3.9014,1898,1919,255,9
CARMARTHEN-ASYLUM,CARMARTHENSHIRE,51.8563,-4.3334,1869,1893,300,0
CARMARTHEN-CWMOERNANT-RES,CARMARTHENSHIRE,51.8660,-4.2976,1938,1960,276,0
CARMARTHEN-FRYN-HIR,CARMARTHENSHIRE,51.8589,-4.1999,1943,1960,210,6
CARMARTHEN-GAOL,CARMARTHENSHIRE,51.8560,-4.3058,1863,1881,226,2
CARMARTHEN-MODEL-AND-PRACTISING-SCHOOL,CARMARTHENSHIRE,51.8576,-4.3146,1924,1941,210,6
CARMARTHEN-THE-FRIARY,CARMARTHENSHIRE,51.8550,-4.3116,1899,1936,442,14
CARMUNNOCK-CARNBOOTH,LANARKSHIRE,55.7884,-4.2505,1913,1948,432,0
CARNARVON-BELAN-FORT,CAERNARFONSHIRE,53.1224,-4.3327,1885,1942,693,3
CARNARVON-COCKSIDIA,CAERNARFONSHIRE,53.1245,-4.2700,1866,1896,362,10
CARNARVON-PLAS-BRERETON,CAERNARFONSHIRE,53.1567,-4.2570,1864,1873,99,21
CARNBEE-OVENSTONE,FIFE,56.2363,-2.7454,1896,1960,758,22
CARNO,MONTGOMERYSHIRE,52.5635,-3.5401,1866,1877,117,27
CARNO-TYBRITH,MONTGOMERYSHIRE,52.5582,-3.5355,1874,1891,204,12
CARNOCK-LUSCAR-HOUSE,FIFE,56.0852,-3.5314,1891,1923,396,0
CARNOUSTIE,ANGUS (FORFAR),56.4997,-2.7017,1911,1960,487,113
CARRADALE-SADDELL-MANOR,ARGYLL,55.5875,-5.4958,1936,1960,300,0
CARRADALE-TORRISDALE-CASTLE,ARGYLL,55.5684,-5.5020,1923,1958,429,3
CARRBRIDGE-MIX,INVERNESS,57.2817,-3.8166,1911,1960,467,133
CARRIBBER-RES,WEST LOTHIAN (LINLITHGOW),55.9561,-3.6480,1897,1960,767,1
CARRICK-ON-SUIR-SESKIN,WATERFORD,52.3352,-7.4360,1900,1940,492,0
CARRICKFERGUS-COPELAND,ANTRIM,54.7523,-5.7808,1887,1960,888,0
CARRICKFERGUS-DORISLAND,ANTRIM,54.7222,-5.8491,1890,1960,852,0
CARRICKFERGUS-LOUGH-MOURNE,ANTRIM,54.7590,-5.8008,1887,1960,888,0
CARRICKFERGUS-NORTH-WOODBURN,ANTRIM,54.7283,-5.8787,1886,1960,900,0
CARRICKFERGUS-SOUTH-WOODBURN,ANTRIM,54.7317,-5.8610,1887,1960,888,0
CARRICKMINES-CLAREMONT,DUBLIN,53.2624,-6.1692,1886,1938,505,131
CARRINGTON-GRANGE,LINCOLNSHIRE,53.0720,-0.0430,1898,1960,756,0
CARRINGTON-HACKERLEY-BRIDGE-FARM,LINCOLNSHIRE,53.0660,-0.0420,1939,1960,239,25
CARRUCHAN-DUMFRIES,KIRKCUDBRIGHTSHIRE,55.0475,-3.6465,1904,1949,430,122
CARSHALTON-SEWAGE-WORKS,SURREY,51.3831,-0.1490,1898,1932,417,3
CARSPHAIRN,KIRKCUDBRIGHTSHIRE,55.2119,-4.2623,1865,1883,223,5
CARSPHAIRN-CARLINS-CAIRN,KIRKCUDBRIGHTSHIRE,55.1671,-4.3784,1929,1949,203,49
CARSPHAIRN-CORNHARROW,KIRKCUDBRIGHTSHIRE,55.2114,-4.0949,1932,1960,341,7
CARSPHAIRN-FINGLAND,KIRKCUDBRIGHTSHIRE,55.1881,-4.0906,1932,1960,340,8
CARSPHAIRN-KNOCKENGARROCH,KIRKCUDBRIGHTSHIRE,55.2469,-4.2730,1929,1960,378,6
CARSPHAIRN-KNOCKGRAY,KIRKCUDBRIGHTSHIRE,55.2124,-4.2396,1906,1942,444,0
CARSPHAIRN-MOOR,KIRKCUDBRIGHTSHIRE,55.2149,-4.2508,1929,1960,377,7
CARSPHAIRN-SHIEL,KIRKCUDBRIGHTSHIRE,55.1826,-4.2976,1904,1949,529,23
CARTMEL-BROUGHTON-HALL,LANCASHIRE,54.2207,-2.9542,1868,1904,437,7
CARTMEL-FLOOKBURGH,LANCASHIRE,54.1740,-2.9743,1870,1914,377,163
CARTMEL-HOLKER-HALL,LANCASHIRE,54.1926,-2.9833,1849,1947,1175,13
CARTMEL-PIT-FARM,LANCASHIRE,54.2010,-2.9430,1861,1907,391,173
CASCOB-FORESTERS-LODGE,RADNORSHIRE,52.2849,-3.1331,1950,1960,130,2
CASTLE-ASHBY,NORTHAMPTONSHIRE,52.2365,-0.7382,1873,1931,698,10
CASTLE-BROMWICH-HALL,WARWICKSHIRE,52.5050,-1.7922,1880,1914,324,96
CASTLE-CARROCK,CUMBERLAND,54.8886,-2.7108,1938,1960,276,0
CASTLE-DOUGLAS-CORBIETON,KIRKCUDBRIGHTSHIRE,54.9713,-3.8840,1928,1960,389,7
CASTLE-KENNEDY-LOCHINCH,WIGTOWNSHIRE,54.9053,-4.9448,1837,1960,456,1032
CASTLE-MALGWYN-LLECHRYD,PEMBROKESHIRE,52.0610,-4.6081,1865,1940,708,204
CASTLE-TOWARD,ARGYLL,55.8696,-5.0135,1824,1877,637,11
CASTLE-TOWNSHEND-GLEN-BARRAHANE,CORK,51.5259,-9.1756,1892,1940,557,31
CASTLE-TOWNSHEND-SEAFIELD,CORK,51.5275,-9.1740,1913,1940,326,10
CASTLECAULFIELD-PARKANAUR,TYRONE,54.4958,-6.8601,1928,1960,383,13
CASTLECOMER-HOUSE,KILKENNY,52.8060,-7.2019,1894,1940,538,26
CASTLETOWN-LANGNESS,ISLE OF MAN,54.0549,-4.6261,1881,1931,609,3
CASTLEWELLAN-LOUGH-ISLAND,DOWN,54.2405,-5.9974,1880,1916,432,12
CATCLEUGH-NURSERY,NORTHUMBERLAND,55.3213,-2.3971,1950,1960,132,0
CATERHAM-ASYLUM,SURREY,51.2871,-0.0987,1877,1929,590,46
CATERHAM-RES,SURREY,51.2741,-0.0933,1905,1960,672,0
CATHEDINE-RECTORY,BRECKNOCKSHIRE,51.9071,-3.2453,1894,1960,796,8
CATRINE,AYRSHIRE,55.5128,-4.2966,1831,1952,495,969
CATTERICK-TUNSTALL,YORKSHIRE NORTH RIDING,54.3587,-1.6658,1865,1894,317,43
CATWORTH,HUNTINGDONSHIRE,52.3479,-0.4042,1890,1939,474,126
CAVERSHAM-ST-PETERS-HILL,OXFORDSHIRE,51.4705,-0.9835,1914,1959,541,11
CAWDALE-BECK-HOWE-GRAIN,WESTMORLAND,54.5509,-2.8085,1918,1960,507,9
CAWDOR-AUCHINDOUNE,NAIRNSHIRE,57.5063,-3.9410,1936,1960,242,58
CAWDOR-BUDGATE,NAIRNSHIRE,57.5206,-3.9443,1870,1914,539,1
CAWDOR-CASTLE,NAIRNSHIRE,57.5236,-3.9269,1903,1960,696,0
CAWSTON-NEW-STREET,NORFOLK,52.7696,1.1619,1871,1960,1068,12
CAWTHORNE-CANNON-HALL,YORKSHIRE WEST RIDING,53.5715,-1.5892,1914,1960,552,12
CAXTON-HARDWICKE,CAMBRIDGESHIRE,52.2098,0.0084,1876,1892,197,7
CEFN-GWYNTOG-BERFEDD,MONTGOMERYSHIRE,52.8254,-3.5182,1939,1960,243,21
CERES-CASTLEBANK,FIFE,56.2921,-2.9693,1881,1930,594,6
CERNE-ABBAS-MINTERNE-RECT,DORSET,50.8382,-2.4853,1877,1887,124,8
CHADLINGTON-LANGSTON-HOUSE,OXFORDSHIRE,51.8973,-1.5131,1903,1950,565,11
CHAGFORD,DEVON,50.6731,-3.8425,1862,1872,125,7
CHAGFORD-BATWORTHY,DEVON,50.6607,-3.8971,1884,1896,154,2
CHAGFORD-METHERALL,DEVON,50.6412,-3.8822,1929,1960,372,12
CHAGFORD-THORNWORTHY,DEVON,50.6499,-3.8812,1916,1960,514,26
CHAGFORD-THORNWORTHY-DOWN,DEVON,50.6452,-3.8960,1928,1960,393,3
CHAGFORD-WHITE-RIDGE,DEVON,50.6247,-3.9070,1926,1960,396,24
CHALBURY-WIMBORNE-MINSTER,DORSET,50.8607,-1.9758,1865,1903,468,0
CHALLACOMBE,DEVON,51.1597,-3.8931,1901,1960,696,24
CHAPEL-EN-LE-FRITH,DERBYSHIRE,53.3190,-1.8990,1840,1960,1006,446
CHARD-CRICKET-ST-THOMAS,SOMERSET,50.8788,-2.9300,1858,1960,1170,66
CHARING-PUMPING-STATION,KENT,51.2026,0.7842,1908,1951,517,11
CHARLBURY-CORNBURY-PARK,OXFORDSHIRE,51.8550,-1.4976,1913,1960,576,0
CHARLTON-KINGS-THE-GRANGE,GLOUCESTERSHIRE,51.8813,-2.0508,1907,1931,300,0
CHARMINSTER-BROOKLANDS,DORSET,50.7384,-2.4577,1906,1952,311,253
CHARNWOOD-FOREST-BLACKBROOK-RES,LEICESTERSHIRE,52.7559,-1.3243,1899,1960,742,2
CHARSFIELD-RED-HOUSE,SUFFOLK,52.1609,1.2676,1906,1960,660,0
CHATBURN,LANCASHIRE,53.8845,-2.3575,1889,1960,735,129
CHATHAM-LUTON-WW,KENT,51.3680,0.5485,1897,1960,763,5
CHATHAM-MIX,KENT,51.3934,0.5365,1869,1904,396,36
CHATHILL-PRESTON-TOWER,NORTHUMBERLAND,55.5229,-1.7085,1916,1956,492,0
CHATSWORTH-GDNS,DERBYSHIRE,53.2273,-1.6090,1777,1960,1563,645
CHATTERIS-AYLESBY-HOUSE,CAMBRIDGESHIRE,52.4523,0.0507,1874,1938,768,12
CHATTERIS-HORSEWAY-LOCK,CAMBRIDGESHIRE,52.4603,0.1107,1872,1904,393,3
CHATTERIS-THE-PRIORY,CAMBRIDGESHIRE,52.4542,0.0456,1881,1930,598,2
CHEADLE-ADSWOOD,CHESHIRE,53.3869,-2.1789,1898,1946,588,0
CHEADLE-TEAN-VICARAGE,STAFFORDSHIRE,52.9511,-1.9821,1875,1895,250,2
CHEADLE-THE-HEATH-HOUSE,STAFFORDSHIRE,52.9502,-1.9628,1873,1919,564,0
CHEDINGTON-COURT,DORSET,50.8486,-2.7272,1898,1942,540,0
CHELFORD-ASTLE-HALL,CHESHIRE,53.2609,-2.2833,1875,1923,586,2
CHELMSFORD-BRITTON,ESSEX,51.7339,0.4720,1737,1742,66,6
CHELMSFORD-HIGH-STREET,ESSEX,51.7339,0.4720,1868,1936,825,3
CHELMSFORD-HORTICULTURAL,ESSEX,51.7339,0.4300,1900,1960,699,33
CHELMSFORD-ROXWELL,ESSEX,51.7648,0.3915,1883,1919,444,0
CHELMSFORD-SANDFORD-MILL-WW,ESSEX,51.7258,0.5150,1929,1960,205,179
CHELMSFORD-WRITTLE-MELBOURNE,ESSEX,51.7498,0.4410,1881,1958,730,206
CHELSEA-PHYSIC-GDNS,LONDON COUNTY,51.4848,-0.1637,1904,1960,684,0
CHELSEA-ST-LUKES-GDNS,MIDDLESEX,51.4894,-0.1693,1888,1941,629,19
CHELSHAM-AND-WOLDINGHAM-WW,SURREY,51.2973,-0.0292,1915,1960,552,0
CHELSHAM-FAIRCHILDES,SURREY,51.3275,-0.0064,1898,1941,525,3
CHELTENHAM-DOWDESWELL,GLOUCESTERSHIRE,51.8768,-2.0246,1889,1960,852,12
CHELTENHAM-HEATH-LODGE,GLOUCESTERSHIRE,51.9044,-2.0649,1867,1903,444,0
CHELTENHAM-HEWLETTS-RES,GLOUCESTERSHIRE,51.8992,-2.0392,1873,1960,1056,0
CHELTENHAM-MONTPELLIER-GDNS,GLOUCESTERSHIRE,51.9046,-2.0828,1833,1960,757,779
CHELTENHAM-NORTHFIELD,GLOUCESTERSHIRE,51.8983,-2.0247,1878,1910,396,0
CHELTENHAM-SANDFORD-MEAD,GLOUCESTERSHIRE,51.8920,-2.0697,1886,1960,864,36
CHELTENHAM-SOUTHAM-VILLA,GLOUCESTERSHIRE,51.9064,-2.0625,1878,1902,291,9
CHEPSTOW-CASTLEFORD,GLOUCESTERSHIRE,51.6483,-2.6735,1907,1948,467,37
CHEPSTOW-ITTON-COURT,MONMOUTHSHIRE,51.6560,-2.7343,1889,1950,744,0
CHEPSTOW-PIERCEFIELD-PARK,MONMOUTHSHIRE,51.6572,-2.6837,1872,1920,582,6
CHEPSTOW-SHIRENEWTON-HALL,MONMOUTHSHIRE,51.6370,-2.7542,1883,1911,254,94
CHEPSTOW-THE-MOUNT,MONMOUTHSHIRE,51.6428,-2.6821,1865,1899,330,90
CHERTSEY-ABBEY-MEADS,SURREY,51.3987,-0.4978,1927,1960,408,0
CHERTSEY-LONG-CROSS,SURREY,51.3755,-0.5876,1880,1960,840,132
CHERTSEY-OTTERSHAW,SURREY,51.3630,-0.5486,1885,1936,590,34
CHESHUNT-COLLEGE,HERTFORDSHIRE,51.7032,-0.0478,1872,1895,286,2
CHESHUNT-DARNICLE-HILL-PUMPING-STATION,HERTFORDSHIRE,51.7266,-0.1061,1914,1960,564,0
CHESHUNT-GOFFS-OAK-HOUSE,HERTFORDSHIRE,51.7101,-0.0851,1907,1920,168,0
CHESHUNT-YARD,HERTFORDSHIRE,51.7139,-0.0430,1915,1960,552,0
CHESTER-CHRISTLETON-HALL,CHESHIRE,53.1854,-2.8425,1882,1915,408,0
CHESTER-LE-STREET-BIDDICK-HALL,DURHAM,54.8681,-1.5138,1906,1929,280,8
CHESTER-LE-STREET-BIRTLEY,DURHAM,54.8860,-1.5682,1873,1889,204,0
CHESTER-NORTHGATE-STATION,CHESHIRE,53.1967,-2.8921,1889,1922,402,6
CHESTER-SEWAGE-WORKS,CHESHIRE,53.1939,-2.9100,1907,1960,550,98
CHESTER-WW,CHESHIRE,53.1937,-2.8718,1884,1960,922,2
CHESTERFIELD,DERBYSHIRE,53.2400,-1.4230,1855,1922,812,4
CHESTERFIELD-GAS-WORKS,DERBYSHIRE,53.2356,-1.4396,1882,1921,442,38
CHESTERFIELD-HARDWICK-HALL,DERBYSHIRE,53.1684,-1.3089,1876,1924,559,29
CHESTERFIELD-LINACRE-RES,DERBYSHIRE,53.2488,-1.4969,1870,1950,963,9
CHESTERFIELD-SEWAGE-WORKS,DERBYSHIRE,53.2481,-1.4215,1906,1960,660,0
CHESTERFIELD-TAPTON-GROVE,DERBYSHIRE,53.2471,-1.4005,1870,1926,564,120
CHESWARDINE-HALL,SHROPSHIRE,52.8740,-2.4115,1922,1950,344,4
CHESWARDINE-KNIGHTON-RES,SHROPSHIRE,52.8515,-2.3950,1885,1942,566,130
CHESWICK,NORTHUMBERLAND,55.7110,-1.9563,1847,1849,36,0
CHEVIOT-BROADSTRUTHER,NORTHUMBERLAND,55.5043,-2.1092,1874,1895,262,2
CHEW-MAGNA,SOMERSET,51.3662,-2.6205,1865,1956,1094,10
CHEWTON-MENDIP-THE-PRIORY,SOMERSET,51.2711,-2.5891,1867,1960,1128,0
CHICHESTER-CHILGROVE,SUSSEX,50.9230,-0.8148,1834,1960,1504,20
CHICHESTER-EARTHAM-HOUSE,SUSSEX,50.8747,-0.6682,1871,1898,336,0
CHICHESTER-GOODWOOD,SUSSEX,50.8719,-0.7422,1798,1944,610,1154
CHICHESTER-MIX,SUSSEX,50.8365,-0.7792,1802,1878,611,313
CHICHESTER-SHOPWYKE,SUSSEX,50.8404,-0.7416,1850,1878,348,0
CHICHESTER-SINGLETON-RECTORY,SUSSEX,50.9133,-0.7538,1878,1892,180,0
CHICHESTER-WEST-DEAN,SUSSEX,50.9074,-0.7782,1834,1960,1505,19
CHICHESTER-WEST-STOKE-RECTORY,SUSSEX,50.8711,-0.8318,1896,1930,414,6
CHICHESTER-WESTGATE,SUSSEX,50.8365,-0.7849,1854,1933,960,0
CHICKENS-ROCK,ISLE OF MAN,54.0381,-4.8374,1876,1887,138,6
